,,mean,mean,mean,mean,std,std,std,std
,,acc,brier,loss,time,acc,brier,loss,time
dataset,method,,,,,,,,
abalone,None,0.640384558235,0.213125081529,0.612320404901,1.17441819333,0.00998067455637,0.00437264442288,0.0110556262426,0.0145372278724
abalone,beta,0.642180338943,0.212857065513,0.611824735117,0.0267916320282,0.00775993360526,0.00385433636056,0.00981617168611,0.000906221872134
abalone,beta05,0.63940449572,0.212908780284,0.611816641517,0.0252713946049,0.00924316143262,0.00400285999445,0.0103452506861,0.000763718309826
abalone,beta2,0.642325111053,0.213026075566,0.612319033923,0.025102420417,0.00862835546187,0.003883056874,0.00950690218597,0.000963722822175
abalone,isotonic,0.628150878666,0.213872634328,0.621156623376,0.0244685003678,0.0200395952257,0.00468487918446,0.0204943296197,0.00109962305197
abalone,sigmoid,0.641702097468,0.213571337932,0.613812897803,0.024950924548,0.00887222048349,0.00388507325934,0.00902800450787,0.000834343271455
autos,None,0.912329264146,0.0718996489287,0.417518902174,1.00575964147,0.0458078736148,0.0268616580171,0.335792551078,0.0112747869456
autos,beta,0.910717486651,0.0765096620961,0.283491730797,0.0155575340826,0.0464884273947,0.0223035635063,0.0792003925705,0.000546562904826
autos,beta05,0.917398929093,0.077392270562,0.287072846572,0.0145923504558,0.0454515196306,0.0211910638933,0.0714755903315,0.000210523114081
autos,beta2,0.909888679291,0.0799880659329,0.293896428726,0.0147912899198,0.0428080969641,0.0204412597828,0.0696522530721,0.000967825997357
autos,isotonic,0.914012711192,0.0707818571053,0.437470243388,0.014425572604,0.0476724610177,0.022575765401,0.481457283419,0.000367229223639
autos,sigmoid,0.912857892707,0.0803813880205,0.288672651925,0.0148820957561,0.0455541318748,0.0226056457787,0.0617503388732,0.0014388825629
balance-scale,None,0.986056598354,0.0130521347409,0.0492396212863,1.04371323789,0.0112231400154,0.00510572648356,0.0131312153718,0.0122281109939
balance-scale,beta,0.987028336643,0.0104402044878,0.0367179072055,0.0162333384649,0.0110882888535,0.00601878186569,0.0175822484169,0.00016935635541
balance-scale,beta05,0.986715996653,0.0104561636284,0.0376691523976,0.015823578112,0.0101734692293,0.00605663826201,0.0178243519029,0.000993461159059
balance-scale,beta2,0.987028336643,0.0104223761143,0.0368465626009,0.0159220677032,0.0113177754071,0.00591724451313,0.0172805880413,0.00121536739932
balance-scale,isotonic,0.987037390881,0.0105673255323,0.0409731642723,0.0153555669592,0.0110559071939,0.00611124419093,0.0481152573957,0.000303922475852
balance-scale,sigmoid,0.986705755998,0.0103792489901,0.0376682251665,0.0156423119686,0.011188227492,0.00624648266497,0.0190483560508,0.000321989670701
car,None,0.952257695927,0.0344102316458,0.113732501268,1.04768497631,0.00990300502736,0.00528491076305,0.0137881777385,0.0108173326669
car,beta,0.951619169243,0.0338168249701,0.108541682732,0.0193290946102,0.0095212442226,0.00618273726841,0.0175481847436,0.000427479988751
car,beta05,0.951910202984,0.0338510245453,0.108533510471,0.0188676382546,0.00968825485914,0.00614529107133,0.0174427014328,0.000966041078052
car,beta2,0.951677644845,0.0339773424005,0.109533417849,0.0187672123295,0.0106269550433,0.00603364153848,0.017545552103,0.00101623786273
car,isotonic,0.952952009679,0.0328696118415,0.121694758283,0.0181860282923,0.0107730918385,0.00592107258943,0.0564474335516,0.000730565745098
car,sigmoid,0.949941188332,0.0354247340081,0.118892107245,0.0186120387951,0.0106899615608,0.00703391940225,0.0213659821011,0.000953081478149
cleveland,None,0.824832261835,0.132787536788,0.496257988843,0.45037557688,0.0448129833342,0.0297006228715,0.148744855287,0.0105285104405
cleveland,beta,0.823763491136,0.130366447832,0.415636635583,0.015548649527,0.0435282791732,0.0196459564471,0.0500231159293,0.000550526961567
cleveland,beta05,0.826797779077,0.1299412551,0.414943325834,0.0149361078326,0.0453765180344,0.0191879334355,0.0491981324022,0.000453845804372
cleveland,beta2,0.823458990844,0.130360708584,0.415204536913,0.015039277467,0.0420869522998,0.0189499622987,0.048422201258,0.000814586233823
cleveland,isotonic,0.820464640561,0.129552373845,0.522208712804,0.0146332837276,0.0412438880165,0.0203913483332,0.247190457911,0.000208956204524
cleveland,sigmoid,0.822775375024,0.133357155088,0.429391776698,0.0148883255504,0.0436736363831,0.021820335345,0.0519519713035,0.000826641500026
credit-approval,None,0.866165803662,0.0999312625243,0.359938399007,1.16145379313,0.0276618935165,0.0177894634317,0.0803355860859,0.0107544344974
credit-approval,beta,0.863105268777,0.101063901253,0.340702097195,0.0170747951625,0.0245725292168,0.0146512467154,0.0453647686003,0.000760372817629
credit-approval,beta05,0.865698428798,0.10061453732,0.339237131257,0.0164120456372,0.0256986036364,0.0144670721,0.0435568304949,0.000407927376197
credit-approval,beta2,0.86463082973,0.100560956896,0.337899088809,0.0164907374148,0.0250519493558,0.0143300897018,0.0424632733239,0.000927463788308
credit-approval,isotonic,0.863416359722,0.100806386465,0.444110340019,0.0161380441663,0.025443850039,0.0157687729075,0.22860954961,0.000446722579687
credit-approval,sigmoid,0.864944376234,0.100393987776,0.337550985588,0.0164797009972,0.0275349310719,0.0156823530828,0.0414448271276,0.00116388567276
dermatology,None,0.99638009438,0.00333867003267,0.0358817591626,0.41127579754,0.00681184787168,0.00477133529935,0.10770436711,0.0349009916759
dermatology,beta,0.99610982411,0.00314855110242,0.0187662334226,0.0167370315253,0.00693231086044,0.0046696021907,0.0351411549208,0.00139620250636
dermatology,beta05,0.99638009438,0.00328435945429,0.0199385863482,0.0163391560185,0.00681184787168,0.00472468363649,0.0349247157482,0.00158297254535
dermatology,beta2,0.99610982411,0.00313434840891,0.0186888593465,0.0163881767332,0.00693231086044,0.00468635737422,0.0351200779385,0.00175969768062
dermatology,isotonic,0.99610982411,0.00300805429586,0.0350466322572,0.0159237542977,0.00693231086044,0.00469004735953,0.107162702789,0.00117156000121
dermatology,sigmoid,0.99610982411,0.00315633110002,0.0208613712647,0.0162662390311,0.00693231086044,0.00456209198571,0.0375927055724,0.00157832106137
diabetes,None,0.75664205076,0.16372118439,0.505174353635,0.99762767315,0.0335689120909,0.0167377681904,0.0504810952435,0.0142254494429
diabetes,beta,0.752995501231,0.159987649324,0.483416574533,0.016904089906,0.0332515792495,0.0114132415626,0.0281192739765,0.000624462548667
diabetes,beta05,0.754042950514,0.159766889897,0.482854704747,0.0163634251895,0.0328291712863,0.0112982645881,0.0277374016152,0.000731842664116
diabetes,beta2,0.753135557253,0.159989073463,0.484171846148,0.0162391098339,0.0310930012423,0.011131499518,0.0266615046661,0.000459551527257
diabetes,isotonic,0.754687208217,0.160766211636,0.524872050228,0.0158797009973,0.0295818401378,0.0123701675084,0.098609879195,0.000137873131706
diabetes,sigmoid,0.752352092352,0.162417196401,0.494870698597,0.0162957185132,0.0313569987587,0.0123737603971,0.0280789179208,0.00093575542562
ecoli,None,0.958149838862,0.036260650872,0.326180511621,0.825154188262,0.0276583622793,0.0216067587656,0.371042661429,0.0165822797125
ecoli,beta,0.956998810697,0.0365653604259,0.145500007825,0.0159261490567,0.0283394197579,0.0197917085565,0.0724874618426,0.00102960645084
ecoli,beta05,0.958452869165,0.0357756398362,0.14288270467,0.0150891534527,0.0264748904663,0.0190522455188,0.068441843338,0.000981941883684
ecoli,beta2,0.957587554599,0.0359260967098,0.142779279544,0.0150026684457,0.0276724241877,0.0190483064446,0.0680655585906,0.000334968960383
ecoli,isotonic,0.956945559257,0.0369612739937,0.223710926872,0.0148646927011,0.0266932593723,0.0193620068816,0.268706177399,0.000847014725014
ecoli,sigmoid,0.956683125695,0.0371004259963,0.1583926678,0.0149336001779,0.0284083323863,0.0201908892849,0.0720497775217,0.000564422584422
flare,None,0.822963537678,0.129743004929,0.404022757613,1.17265121021,0.0112217259749,0.00810207990701,0.0230207571456,0.0203842334132
flare,beta,0.822891073909,0.129718282589,0.404114723291,0.0190362566498,0.0114023815458,0.00822919505299,0.0227273717618,0.000964684744928
flare,beta05,0.822963537678,0.129841034717,0.404209174929,0.0182689074768,0.0112217259749,0.00793539902544,0.0217948952568,0.000890880768188
flare,beta2,0.822963537678,0.129808723163,0.404152936324,0.0181169087084,0.0112217259749,0.00798648627702,0.0223516207963,0.000503050984964
flare,isotonic,0.822166436228,0.131252754322,0.421158480836,0.0176083440243,0.0115673600613,0.00887881508937,0.0480606487214,0.000514125697558
flare,sigmoid,0.820794299716,0.130048503827,0.407779407283,0.0181649065189,0.012510527857,0.00876020181055,0.0240495606792,0.000978850749775
german,None,0.7622,0.166312935395,0.51049021898,0.439539764972,0.0196697218888,0.0112367417326,0.0376577748929,0.0108304188311
german,beta,0.7564,0.16678513548,0.50586174215,0.0191443013291,0.0202796771701,0.00871108483914,0.0236649531112,0.00108137282536
german,beta05,0.7622,0.16685476378,0.506045354292,0.018243625665,0.0169981991843,0.00910897850516,0.0249037908635,0.000229148206718
german,beta2,0.7554,0.166716664468,0.505426637564,0.0182485349207,0.0204250746258,0.00855842248409,0.0232442864227,0.000539968096917
german,isotonic,0.7583,0.16731400163,0.534427427839,0.0179592343614,0.0201679175415,0.0094607146829,0.100368517482,0.000356597398815
german,sigmoid,0.7586,0.166153045317,0.506063185082,0.0182637347976,0.0189801184917,0.00852152929425,0.0209088111561,0.000528319607316
glass,None,0.808649031847,0.155567295424,0.688448729596,0.863909748379,0.0502244309521,0.0395781017454,0.288899538963,0.0123825178924
glass,beta,0.802204872647,0.157439220897,0.491570922225,0.0154258155009,0.0518397261123,0.0234103994247,0.062604610068,0.00126200866524
glass,beta05,0.802256854257,0.157168242393,0.490594900754,0.0147245274627,0.0460668378812,0.0230209885432,0.0619951125311,0.00114974337141
glass,beta2,0.803071428571,0.157311141907,0.490626459539,0.0144945142916,0.0443085417524,0.0223777557208,0.0608628281998,0.000425939603358
glass,isotonic,0.802257793886,0.153059775556,0.595471065657,0.0142937137579,0.0497947429134,0.0277176254855,0.322783853707,0.000369581664163
glass,sigmoid,0.803645021645,0.154532970283,0.485080646407,0.0144057474214,0.0496698588021,0.023868566692,0.0571154974968,0.000163542099557
heart-statlog,None,0.813333333333,0.141728277355,0.57274275055,0.716057655531,0.0522230531232,0.0359636620765,0.212371282385,0.0163596371801
heart-statlog,beta,0.814074074074,0.134765421818,0.427930715293,0.0155298404064,0.0459678447174,0.0230873283921,0.0622343790517,0.000855671311179
heart-statlog,beta05,0.816666666667,0.134439010249,0.426774299101,0.0147289919775,0.0502297289578,0.0235274582804,0.062062043245,0.000181314849089
heart-statlog,beta2,0.821481481481,0.134337100594,0.426200129983,0.0151555840646,0.046392190935,0.0232368636483,0.0613210783769,0.00170619764461
heart-statlog,isotonic,0.816666666667,0.134018718315,0.569908441086,0.0145268777476,0.050784004816,0.0255983910935,0.309782290119,0.000191165252687
heart-statlog,sigmoid,0.813703703704,0.138863280882,0.443685018167,0.0149222250731,0.0510808130427,0.0250835839047,0.0595929774661,0.000963386852466
hepatitis,None,0.827227150538,0.134116657597,0.780997470571,0.568090354253,0.0628209425655,0.0457074294327,0.468601337626,0.0121643153779
hepatitis,beta,0.814412634409,0.123400676883,0.388578222396,0.01564988967,0.0470021692716,0.0217502568608,0.0550874279145,0.000798902425244
hepatitis,beta05,0.822786290323,0.123611787145,0.388988725479,0.0144943877115,0.055551178456,0.022373110478,0.0550624751916,0.000363457065634
hepatitis,beta2,0.821430107527,0.122770358127,0.389364055604,0.0145640888798,0.0494936129516,0.0223615507445,0.0560280165246,0.000993832989974
hepatitis,isotonic,0.814788978495,0.124386608472,0.409614595007,0.014273306991,0.0499145582339,0.027241385246,0.184642785212,0.000218145185251
hepatitis,sigmoid,0.822657258065,0.127435178941,0.410187974406,0.0144805562683,0.045785381616,0.0214837810594,0.0558992184081,0.000719660414351
horse,None,0.83778225433,0.129416378817,0.637977549434,0.530376935051,0.0463250262228,0.0306309226825,0.230103168854,0.0118221933929
horse,beta,0.831375659906,0.126552273296,0.412839301605,0.0160571321052,0.0409844833712,0.0204706308545,0.0530070712327,0.000417696345545
horse,beta05,0.835804482727,0.127985756949,0.419408966458,0.0154881681805,0.0430333250668,0.0197357630105,0.0518384160459,0.000646591889023
horse,beta2,0.833715383903,0.126871597141,0.417386232694,0.0154498451959,0.0396050310314,0.0194166806774,0.0518375971095,0.000483112136761
horse,isotonic,0.833386774104,0.126824675586,0.524851765619,0.0151988368314,0.0416589865975,0.0229215468243,0.260894356756,0.000610428832598
horse,sigmoid,0.837432527554,0.12706817366,0.417568076857,0.015397437608,0.0430209782542,0.0203256070637,0.0482725299891,0.000509008452268
ionosphere,None,0.925102615694,0.0604208704767,0.380129721499,0.572082848395,0.0247889217087,0.0185307170171,0.203864037443,0.0119325380974
ionosphere,beta,0.930519114688,0.0564892735033,0.202875801741,0.0172537212843,0.0242479710586,0.0153720548093,0.0443898248106,0.000541301489891
ionosphere,beta05,0.9273722334,0.057056162669,0.204171885809,0.0167471374078,0.0254009159793,0.0152572842638,0.0434685454121,0.00123844058431
ionosphere,beta2,0.931376257545,0.0561095875548,0.200973104951,0.0168755478011,0.0257295376881,0.0151769166217,0.0444213237276,0.00196865456634
ionosphere,isotonic,0.92938028169,0.0574645885064,0.295897288775,0.0162998032877,0.0248132049506,0.0157065149719,0.211831546397,0.000558550116538
ionosphere,sigmoid,0.927392354125,0.059271169488,0.226665566743,0.016447204119,0.0249931077452,0.0160371978658,0.0456906035495,0.000378663878708
iris,None,1.0,0.0142093366186,0.126928011043,0.00486949932436,0.0,0.0,0.0,0.000133587214671
iris,beta,1.0,1.85907187325e-10,1.36348715491e-05,0.00165961239121,0.0,0.0,0.0,4.67464068776e-05
iris,beta05,1.0,2.12541215363e-10,1.38858564553e-05,0.00132395272061,0.0,0.0,0.0,3.55229221342e-05
iris,beta2,1.0,2.1840422568e-10,1.39866919451e-05,0.00133248148336,0.0,0.0,0.0,5.63607144612e-05
iris,isotonic,1.0,0.0,1.11022302463e-16,0.00104688595823,0.0,0.0,0.0,1.68652004909e-05
iris,sigmoid,1.0,1.85907529738e-10,1.36348841059e-05,0.00125832606346,0.0,0.0,0.0,2.3331402995e-05
landsat-satellite,None,0.983435004351,0.0118803429576,0.0413304622405,1.67044915414,0.00355151367957,0.00232908436912,0.00822541049211,0.0144167189524
landsat-satellite,beta,0.983403537818,0.0115360724577,0.0400339347367,0.0476384050906,0.00353064219278,0.00203888008586,0.00589102831799,0.00154818515339
landsat-satellite,beta05,0.983683754033,0.0115431584669,0.040076125138,0.0467263098476,0.00360781757587,0.00205941277057,0.00595086380449,0.00143609229096
landsat-satellite,beta2,0.983388094363,0.0115169846057,0.0399542038525,0.0466498828279,0.00361359852473,0.00204970045428,0.00586956435108,0.00113848260059
landsat-satellite,isotonic,0.983076411147,0.0116392977208,0.0434033263372,0.045228093943,0.00369576285385,0.00201131627824,0.0113247695724,0.0012704849675
landsat-satellite,sigmoid,0.983372698643,0.0127653945592,0.0531310097037,0.0463584646174,0.0035572141285,0.00260324358719,0.00877673218616,0.00154762230952
letter,None,0.986531280945,0.0103872594686,0.0368561738089,3.35620158396,0.00134355049534,0.00062369821473,0.00202240077817,0.0310058209284
letter,beta,0.98643696825,0.0101270111091,0.0354538652451,0.139089830827,0.00128529898045,0.000715197296153,0.00230170582799,0.00576569257678
letter,beta05,0.986539852779,0.0100971426134,0.0355367507252,0.151573972392,0.00128499468038,0.00070302735093,0.00226371912717,0.00756882277944
letter,beta2,0.98598553249,0.0103365813211,0.0361874190138,0.12912006979,0.0013242783703,0.000682296370396,0.00228394278525,0.00290055270395
letter,isotonic,0.987299976888,0.00987803346089,0.034572690364,0.143420755717,0.00132960873503,0.000617578790273,0.00251414846425,0.0062810325327
letter,sigmoid,0.986559904662,0.0105676393934,0.0439433762813,0.128660471083,0.00130478945299,0.000859987076048,0.00347099446501,0.00309453103391
libras-movement,None,0.9728,0.0252292346721,0.595334782217,0.670910333385,0.0148821523326,0.0140618509975,0.503359614748,0.0116860954287
libras-movement,beta,0.976133333333,0.0216481315733,0.0993249168584,0.0198013444861,0.0145897799162,0.012916191156,0.0544518978024,0.000874192172357
libras-movement,beta05,0.973333333333,0.0235507419826,0.106587309444,0.0185331862267,0.0156347191994,0.013193331396,0.053065964831,0.000491867469782
libras-movement,beta2,0.976666666667,0.0213183773151,0.0982470575502,0.0186015292246,0.0147234522226,0.0130998947747,0.0548212633754,0.000448886176761
libras-movement,isotonic,0.975866666667,0.0220571811188,0.165290029458,0.0182769333402,0.0147628263921,0.0128251582216,0.244256471892,0.000532350465549
libras-movement,sigmoid,0.973733333333,0.0243362279053,0.113571116059,0.018482578129,0.0152178436856,0.0134726528869,0.0533249226357,0.00023135099027
lung-cancer,None,0.970947368421,0.0401849267218,0.19302036948,0.0384963069397,0.0393570062201,0.0208678943112,0.0519094163899,0.0016305174938
lung-cancer,beta,0.955210526316,0.0319765614433,0.118816724751,0.00216633311096,0.0445658893294,0.0204957429085,0.0655240517536,0.000169133826988
lung-cancer,beta05,0.958315789474,0.0315168445711,0.117880592493,0.00160307555464,0.0433697089273,0.0205177624454,0.065366482343,4.57335522906e-05
