,,mean,mean,mean,std,std,std
,,acc,brier,loss,acc,brier,loss
dataset,method,,,,,,
abalone,None,0.63303623464,0.249163384955,0.691473289841,0.0142964769829,9.00977308394e-05,0.00018072497408
abalone,beta,0.63777907376,0.220081122816,0.631532727798,0.00329315930345,0.00255057665479,0.00691570846591
abalone,beta05,0.630906097555,0.220064402143,0.632395211383,0.0140397620314,0.00358136575814,0.010942044093
abalone,beta2,0.636964442585,0.221679741743,0.635033773959,0.00313079146734,0.00277305963622,0.00807339164968
abalone,isotonic,0.636363261615,0.214160868083,0.619602722589,0.00802765083999,0.00318248116522,0.0218209067163
abalone,sigmoid,0.636964385146,0.221728272851,0.635127047743,0.00308107728404,0.00277087066167,0.00804883190862
autos,None,0.914948200268,0.165453945052,0.517490636369,0.049688121131,0.00983296843741,0.0216573602386
autos,beta,0.91608524896,0.0735512021757,0.277537330758,0.0448304233444,0.0245449143521,0.0816441241987
autos,beta05,0.915496783661,0.0733320829594,0.276964213601,0.0447374581352,0.0243209595652,0.0770717821131
autos,beta2,0.915547662634,0.0770117674725,0.284921034471,0.0459335012335,0.0217355854811,0.0685074938474
autos,isotonic,0.920064004816,0.0687048609323,0.498206096825,0.0429092249931,0.0237149523679,0.579840632767
autos,sigmoid,0.916741958534,0.076241779219,0.28158981689,0.0461768126706,0.0218800094444,0.0675942298455
balance-scale,None,0.988300738077,0.224776270492,0.642565849919,0.0101475797334,0.00140210332866,0.00282545088223
balance-scale,beta,0.989752475866,0.00858269946999,0.032340334859,0.0109676853185,0.0058369886156,0.022834334782
balance-scale,beta05,0.988948521974,0.00927576938462,0.036073657029,0.00926573034876,0.00622858311098,0.0303587396642
balance-scale,beta2,0.989591185543,0.00856989930159,0.0339471186476,0.0113505914157,0.00588733086204,0.033116311642
balance-scale,isotonic,0.9897602188,0.00868827110537,0.0406141124093,0.010575942755,0.00587695045275,0.0849984805862
balance-scale,sigmoid,0.990228666342,0.00858592618346,0.0324414707023,0.0106445438312,0.0058192727151,0.0227952985886
car,None,0.950343796209,0.228528833301,0.650091551162,0.0105877483776,0.000749484167655,0.00150744419003
car,beta,0.951559013308,0.0334331952237,0.107967114255,0.0110072433403,0.00598595837923,0.0170221585457
car,beta05,0.95051754268,0.033527296717,0.107925187489,0.0108078707634,0.00603119179285,0.0170475441
car,beta2,0.951559013308,0.0334308898283,0.107944773666,0.0110072433403,0.00599270871934,0.0170625458862
car,isotonic,0.951677980911,0.0336558859083,0.141495649717,0.0107173631944,0.00602100449767,0.0714721690722
car,sigmoid,0.951559349375,0.0334230593577,0.107991185078,0.0111133106764,0.0059404768488,0.0167966645188
cleveland,None,0.794828755114,0.238276244598,0.66966927647,0.0470135358936,0.00164144319511,0.00329157044754
cleveland,beta,0.782265341905,0.154946794675,0.481975215545,0.0502017370433,0.0181592658183,0.0455629471502
cleveland,beta05,0.787719851938,0.15484933134,0.482573325768,0.0472513866956,0.0179011059652,0.0447624453679
cleveland,beta2,0.783628092733,0.15588825372,0.483812704804,0.0504598837387,0.0168924305746,0.0403237751359
cleveland,isotonic,0.785322618352,0.151212700835,0.516107034242,0.0502014236577,0.0212970126086,0.221274146606
cleveland,sigmoid,0.783628092733,0.155854491755,0.483726641344,0.0504598837387,0.0168928126898,0.0403209448847
credit-approval,None,0.842576326981,0.241169404869,0.675466435151,0.0246363888127,0.000895070155821,0.00179602507038
credit-approval,beta,0.839684780868,0.121438546363,0.403290725709,0.0269556779363,0.0129223290391,0.0392030846096
credit-approval,beta05,0.843958557981,0.120967450138,0.402837266319,0.0234993045921,0.0121491354712,0.0376307945944
credit-approval,beta2,0.838772184558,0.12378745145,0.412497760866,0.0273490434567,0.0130512826691,0.0440599636636
credit-approval,isotonic,0.843818662254,0.11543166909,0.426217767891,0.0246135490521,0.0128701976475,0.119084963816
credit-approval,sigmoid,0.838772184558,0.123770605651,0.412430427625,0.0273490434567,0.0130471783077,0.0440235328625
dermatology,None,0.994078507079,0.0062239099943,0.0444596156174,0.0111128190377,0.00923651018921,0.100901761322
dermatology,beta,0.994078507079,0.00637615084383,0.041831894504,0.0111128190377,0.00911012602952,0.0768116750969
dermatology,beta05,0.994078507079,0.00630208815115,0.0411518428793,0.0111128190377,0.00925337824153,0.0740295904482
dermatology,beta2,0.993507078507,0.00657230919336,0.0448354741758,0.0115289091624,0.00925046021962,0.0819054770501
dermatology,isotonic,0.992966537967,0.00692443088044,0.112153661044,0.01184746062,0.00939350287786,0.291883102008
dermatology,sigmoid,0.994078507079,0.00630830461276,0.0508349657628,0.0111128190377,0.00932140497317,0.0960980573684
diabetes,None,0.741152703506,0.245045055233,0.683232006797,0.0287267828831,0.000915710737176,0.00183596136224
diabetes,beta,0.735912061794,0.178156280731,0.537290012098,0.0216648730622,0.00738473404887,0.0201557033795
diabetes,beta05,0.742448858331,0.179452786839,0.542955267873,0.031300176937,0.00851651774185,0.0229564337875
diabetes,beta2,0.72095577625,0.184084413492,0.553880747289,0.026323999613,0.00707959330772,0.0227799854903
diabetes,isotonic,0.739449961803,0.172488733509,0.555806405479,0.0264904623552,0.0106030478853,0.11458058945
diabetes,sigmoid,0.72069603599,0.184059605769,0.553807862503,0.0265846961719,0.00707291134499,0.022743192668
ecoli,None,0.960829465962,0.124953298336,0.427160726821,0.0245004275395,0.020732488027,0.0532060736938
ecoli,beta,0.95724938228,0.0370018161814,0.149359715227,0.0257442858935,0.0191113599228,0.0739305694475
ecoli,beta05,0.957288907972,0.0367304113172,0.146740585503,0.0257169428955,0.0187025163092,0.0653856154874
ecoli,beta2,0.957543227738,0.0367651191586,0.146668228278,0.0256619578886,0.0185515343719,0.0678193044561
ecoli,isotonic,0.957912545548,0.0371090980717,0.278907639206,0.0248512463337,0.018802600946,0.361317087669
ecoli,sigmoid,0.957833082811,0.0366433726768,0.146356542426,0.0252272363947,0.018770792449,0.0687698587742
flare,None,0.821447998833,0.22732195682,0.646008091267,0.0126720636557,0.00561387133292,0.0126342293372
flare,beta,0.822598135272,0.133306840061,0.414842532828,0.0113490714563,0.0080612715799,0.0213694462102
flare,beta05,0.821447252809,0.138533127236,0.43260185213,0.0125058327112,0.0103039892351,0.0327044037829
flare,beta2,0.822598135272,0.133447175166,0.415391956049,0.0113490714563,0.00796269079929,0.0210401458287
flare,isotonic,0.821949824104,0.131445753926,0.425917586404,0.0126383595797,0.00911599160542,0.0770215662296
flare,sigmoid,0.822598135272,0.133459220393,0.415528153249,0.0113490714563,0.00797956087982,0.0211828220115
german,None,0.7381,0.247644359249,0.688434473072,0.0247000371808,0.000297985511067,0.000596593789452
german,beta,0.7153,0.184404461355,0.550423836047,0.020883789241,0.00722965543156,0.0181665405905
german,beta05,0.7386,0.186081398578,0.556752957145,0.0245789025178,0.00928445289092,0.0232709365227
german,beta2,0.706,0.189564229466,0.562881158526,0.0116057691495,0.00626633441083,0.0160514303056
german,isotonic,0.7347,0.177760916547,0.541918096361,0.019676205458,0.0081013396902,0.0419237745985
german,sigmoid,0.7056,0.189618725305,0.562995507222,0.0115458270578,0.00624153527602,0.0159718027049
glass,None,0.804604483372,0.232826035151,0.658698776018,0.0491936916845,0.00278479926622,0.0056080796511
glass,beta,0.791680089936,0.16182507009,0.501759329312,0.0560766863676,0.0185353349266,0.0436067532048
glass,beta05,0.799783952482,0.161978217329,0.503853242738,0.0480768762089,0.0188012207432,0.0446988405902
glass,beta2,0.784213530655,0.167071843699,0.516054047864,0.0434312171606,0.0171904134266,0.0436611176524
glass,isotonic,0.795177707306,0.155548232361,0.524349291439,0.0507377692239,0.023000659313,0.186110826566
glass,sigmoid,0.7851579751,0.166949005108,0.515745711099,0.0438613596527,0.0172259627298,0.043719113034
heart-statlog,None,0.790740740741,0.235932411065,0.664961646291,0.0534692670143,0.00195759393571,0.00393319983492
heart-statlog,beta,0.782222222222,0.15438009702,0.479306088019,0.0508267088191,0.0203389908274,0.050852988877
heart-statlog,beta05,0.785925925926,0.154563773641,0.479715419414,0.055259984716,0.019786271158,0.0481725357808
heart-statlog,beta2,0.783333333333,0.155241644845,0.483841166292,0.0535999989136,0.0189482515218,0.046467974993
heart-statlog,isotonic,0.77962962963,0.154247169863,0.539407358729,0.0560259750914,0.0248075401887,0.223372867592
heart-statlog,sigmoid,0.783333333333,0.155203203969,0.483694464777,0.0535999989136,0.01896015051,0.0464448261296
hepatitis,None,0.829162634409,0.186251456085,0.562100219575,0.060882713229,0.0116697350025,0.0252808266712
hepatitis,beta,0.807327956989,0.124242382851,0.389184140331,0.042108303599,0.0202321631726,0.0525262350539
hepatitis,beta05,0.816975806452,0.124626553208,0.39189371,0.0590716046604,0.0213799279336,0.0538335205907
hepatitis,beta2,0.818262096774,0.122803166676,0.388586320096,0.044288867112,0.0202411875974,0.0505041053966
hepatitis,isotonic,0.823180107527,0.12231150956,0.424490059411,0.0514535592874,0.0255041233209,0.235584383096
hepatitis,sigmoid,0.816970430108,0.122759587013,0.388656519384,0.0456065166339,0.0203741901533,0.0508620088272
horse,None,0.838699175697,0.225661325232,0.644295027551,0.0432462735824,0.00329209743081,0.0066537433493
horse,beta,0.830375845142,0.133100937317,0.433595037278,0.0392905591912,0.0185287932068,0.0473417637965
horse,beta05,0.836721404094,0.137322380683,0.445730566346,0.043814666979,0.0178859925789,0.0462555448645
horse,beta2,0.833393164768,0.13607097752,0.444280011437,0.0382658658467,0.0175173384907,0.0462563494466
horse,isotonic,0.830653977957,0.131780440211,0.510257957594,0.041990312771,0.0218062352474,0.229579113264
horse,sigmoid,0.833726498101,0.135991574233,0.444049838936,0.038485441551,0.0175286854,0.0462416904104
ionosphere,None,0.933364185111,0.171030753465,0.531343352838,0.0265196539811,0.00665638914729,0.014511013161
ionosphere,beta,0.932225352113,0.0539592802095,0.198695278127,0.0251100019707,0.0153360335802,0.0475417567957
ionosphere,beta05,0.932519114688,0.0538808892001,0.198097483504,0.0254264344472,0.0155299201075,0.0463354113335
ionosphere,beta2,0.933360160966,0.0541846020011,0.198938022524,0.0239244514131,0.0150143260843,0.0460708092458
ionosphere,isotonic,0.931939637827,0.0542107264778,0.267473045365,0.0253887431484,0.0162691109889,0.236832279354
ionosphere,sigmoid,0.933360160966,0.0541224543125,0.1987517626,0.0239244514131,0.0150394911893,0.0461359293494
iris,None,1.0,4.93038065763e-32,2.22044604925e-16,0.0,0.0,0.0
iris,beta,1.0,1.85907166304e-10,1.36348707782e-05,0.0,0.0,0.0
iris,beta05,1.0,1.85907166304e-10,1.36348707782e-05,0.0,0.0,0.0
iris,beta2,1.0,1.85909621068e-10,1.36349109412e-05,0.0,0.0,0.0
iris,isotonic,1.0,0.0,1.11022302463e-16,0.0,0.0,0.0
iris,sigmoid,1.0,1.85907377073e-10,1.36348785074e-05,0.0,0.0,0.0
landsat-satellite,None,0.986356151734,0.207880336223,0.608428243006,0.00343246312344,0.00273693078884,0.00558451865103
landsat-satellite,beta,0.986449428624,0.00994439258256,0.0380623811093,0.00335989470542,0.00197922429009,0.00800365029469
landsat-satellite,beta05,0.986558112473,0.00987838092426,0.0374563634419,0.00343247175321,0.00200897170085,0.00726724703264
landsat-satellite,beta2,0.986496036774,0.00994368322826,0.038348979345,0.00348165315045,0.00196439988996,0.00806380850841
landsat-satellite,isotonic,0.986620961439,0.00994495356619,0.0400917550978,0.00337181022395,0.00204621272551,0.0186121306538
landsat-satellite,sigmoid,0.986511613098,0.0099462857681,0.0383722233203,0.00347392611994,0.00196368231867,0.0080273597301
letter,None,0.992017078744,0.192939196788,0.577396801813,0.000986738089024,0.00123907890178,0.00254545038563
letter,beta,0.991999958321,0.00603349692991,0.0216433303027,0.00102390425727,0.000581491807766,0.00260859905269
letter,beta05,0.992065682023,0.00602001575807,0.0215195678876,0.000970113226741,0.000590719581525,0.00256638992947
letter,beta2,0.991997118728,0.00603369604888,0.0216488967169,0.00100592592285,0.00058085477049,0.00260259492127
letter,isotonic,0.991997151795,0.00592442636291,0.0212937315368,0.000975346473468,0.000593980217642,0.00291293240561
letter,sigmoid,0.991982829733,0.00604218618036,0.0217103009532,0.00102199866174,0.000577325519291,0.00257192601644
libras-movement,None,0.9708,0.051525172751,0.236899627051,0.0158014896396,0.0101883503966,0.0358198985899
libras-movement,beta,0.976933333333,0.0211121474895,0.0983244303783,0.0180932329716,0.0126759665606,0.0640370163894
libras-movement,beta05,0.973066666667,0.0235294665664,0.103044555283,0.0162022366251,0.0115303085938,0.0538078258633
libras-movement,beta2,0.975533333333,0.0228801629529,0.111016125259,0.0175947064808,0.0124023370254,0.0632621514721
libras-movement,isotonic,0.976066666667,0.0208548559162,0.168082628971,0.0180159918883,0.012643443434,0.253534236458
libras-movement,sigmoid,0.9764,0.021398071701,0.0993415468497,0.0181057613511,0.0123400964312,0.053011473034
lung-cancer,None,0.972947368421,0.0266725146199,0.218313611887,0.0382020005106,0.0238154802088,0.632281314743
lung-cancer,beta,0.956210526316,0.0321490928828,0.13842410425,0.0438570854961,0.0215346813225,0.178420502066
lung-cancer,beta05,0.957263157895,0.0321415352232,0.138416000859,0.0429742497116,0.0215322997898,0.178466146762
lung-cancer,beta2,0.957263157895,0.0320338812581,0.133297576103,0.0429742497116,0.0215104862029,0.145988419948
lung-cancer,isotonic,0.955210526316,0.0322700783576,0.189126610425,0.0445658893294,0.0215994821864,0.533790733205
lung-cancer,sigmoid,0.955210526316,0.0322418340742,0.139952512484,0.0445658893294,0.0215743927745,0.187454121775
mfeat-karhunen,None,0.9933,0.137399347449,0.460270990736,0.0039266228934,0.0090275648944,0.0203495165039
mfeat-karhunen,beta,0.99325,0.00618423062429,0.0292483581991,0.00347182537415,0.00260198377942,0.0127517130296
mfeat-karhunen,beta05,0.99315,0.00634993917739,0.0298386395003,0.00352867264169,0.00271673922994,0.012811196738
mfeat-karhunen,beta2,0.99315,0.0063405872959,0.0305228996512,0.00349233855338,0.00257891331932,0.0131159402275
mfeat-karhunen,isotonic,0.9928,0.00632326487597,0.0436682946721,0.0034493418479,0.00266330248192,0.0522400906789
mfeat-karhunen,sigmoid,0.99315,0.00631992453499,0.0303428861852,0.00349233855338,0.00256355242401,0.0129663987591
mfeat-morphological,None,0.99765,0.00919294899848,0.0755007191533,0.00210744549885,0.00408125175048,0.0291598620294
mfeat-morphological,beta,0.99775,0.00211325542915,0.014357531912,0.002157686781,0.00185145940292,0.0166926876112
mfeat-morphological,beta05,0.99775,0.00195210468399,0.0132041544981,0.00209773930794,0.0017676979077,0.0150785775538
mfeat-morphological,beta2,0.9977,0.00210073147647,0.0143009746282,0.00213331207472,0.00182694038837,0.0155313928589
mfeat-morphological,isotonic,0.9979,0.00262226468048,0.029212938718,0.00210441712324,0.00180263750513,0.0429795048547
mfeat-morphological,sigmoid,0.9977,0.00211915955523,0.0146977235557,0.00213331207472,0.00183545639532,0.0163001775449
mfeat-zernike,None,0.99155,0.090899803665,0.351416981448,0.00413083230236,0.0108471007847,0.0287661323926
mfeat-zernike,beta,0.99185,0.00704156172316,0.0322154790665,0.00412836133919,0.00300546064856,0.0140517057833
mfeat-zernike,beta05,0.9917,0.00705201758361,0.0320116130044,0.00408581418459,0.00305056560419,0.0136299880955
mfeat-zernike,beta2,0.9919,0.00711226444544,0.033239184454,0.00402669662556,0.0029306540096,0.0143704059079
mfeat-zernike,isotonic,0.99185,0.00711000904671,0.0593322718929,0.00403460793938,0.00306493767553,0.0422444901802
mfeat-zernike,sigmoid,0.99195,0.00708007028917,0.0327006563406,0.00401813491103,0.00293805129366,0.0140062363645
mushroom,None,1.0,0.174760140595,0.541030539488,0.0,0.00218883265316,0.00453578132167
mushroom,beta,1.0,5.44254227527e-06,6.26563214483e-05,0.0,3.83841537017e-05,0.000235738085683
mushroom,beta05,1.0,5.39170838363e-06,5.87448924525e-05,0.0,3.80521517588e-05,0.00020765279013
mushroom,beta2,1.0,5.43066634293e-06,6.31702641468e-05,0.0,3.8295555287e-05,0.000235410362338
mushroom,isotonic,1.0,4.4495417435e-06,3.9947681443e-05,0.0,2.92926566023e-05,0.000191151513834
mushroom,sigmoid,1.0,5.53252682857e-06,5.1152427696e-05,0.0,3.90843835847e-05,0.000238481034871
optdigits,None,0.988986403262,0.192408300391,0.576793624339,0.00289399203533,0.00460299118196,0.0095026385012
optdigits,beta,0.989253737834,0.00832336153235,0.0341406082765,0.00280815462757,0.00173514956298,0.00683468254199
optdigits,beta05,0.989253262456,0.00827149413069,0.0338356865189,0.00279921598129,0.00174241521517,0.00686364652833
optdigits,beta2,0.989182213993,0.00841500226953,0.0356571893433,0.00288649424327,0.00171957927096,0.00761675743437
optdigits,isotonic,0.989413562973,0.00823572067339,0.0411537861552,0.00285818589869,0.00182932888648,0.0200362052567
optdigits,sigmoid,0.989182213993,0.00841382481082,0.0356289063885,0.00288649424327,0.00171917743318,0.00757277913326
page-blocks,None,0.969963266977,0.234629624122,0.662384829787,0.00461066016902,0.000640861895353,0.00128450608617
page-blocks,beta,0.969378389751,0.0242089359195,0.0884663944247,0.00425622993446,0.0027406003037,0.0106160886288
page-blocks,beta05,0.969616133833,0.0238892537646,0.0878902344945,0.00480973048311,0.00284527098231,0.0109151183023
page-blocks,beta2,0.968647326777,0.0245297883908,0.0929986818179,0.0046823908619,0.00276041476509,0.0133124742863
page-blocks,isotonic,0.970474684151,0.0230967222631,0.0863420795805,0.00489228318042,0.00289295415761,0.0174331935526
page-blocks,sigmoid,0.968665625039,0.0245490774226,0.0930495681546,0.00470335283445,0.00275899125521,0.0132694288065
pendigits,None,0.996743160663,0.144505556483,0.474203389845,0.00114515989733,0.00459408841888,0.0103810676321
pendigits,beta,0.996706697695,0.00293163748201,0.0142393400458,0.00117885481623,0.000612660477269,0.00382029955251
pendigits,beta05,0.996852317794,0.00287781375498,0.014127514294,0.00108270226919,0.000590950554932,0.0038133241373
pendigits,beta2,0.996615730648,0.00298768952605,0.0148562820414,0.00120931389315,0.000617565050995,0.00420008701495
pendigits,isotonic,0.996897859314,0.00261650854132,0.0169573281116,0.00106613978549,0.000681267050952,0.00837736293228
pendigits,sigmoid,0.996597540561,0.00298983627407,0.0148500038407,0.00122345602317,0.000616829610305,0.00417057081122
scene-classification,None,0.832235793126,0.230758374823,0.654453307304,0.0144955276173,0.00282365316703,0.00574371752583
scene-classification,beta,0.825257671532,0.122598757864,0.38565295735,0.0116793695525,0.0045023137952,0.0120417583158
scene-classification,beta05,0.83119577018,0.123041452324,0.388644524363,0.0159159159868,0.00509267601659,0.0133942636968
scene-classification,beta2,0.815079259798,0.12623730055,0.394197901852,0.0110799975938,0.00400544853603,0.0115324554447
scene-classification,isotonic,0.830574231948,0.120194148886,0.380928331045,0.0138814664852,0.005281787592,0.0162857684169
scene-classification,sigmoid,0.81495495172,0.126234085025,0.394179590447,0.011052575075,0.00399389353215,0.0114969894841
segment,None,0.997316017316,0.049657277059,0.240947460504,0.00249526790375,0.00807047285484,0.0251533146127
segment,beta,0.997402597403,0.00200393224786,0.00934416533224,0.00218647736916,0.00144441435502,0.00813610697134
segment,beta05,0.997792207792,0.00189503507048,0.00868389510675,0.00207381356056,0.00150067081877,0.00739351653184
segment,beta2,0.997575757576,0.00199913074073,0.00923828065909,0.00198668873274,0.00144901809476,0.00771686368886
segment,isotonic,0.997316017316,0.00202153912731,0.0233199071494,0.0021671509546,0.00137469170979,0.040176198282
segment,sigmoid,0.997532467532,0.00199045325901,0.00908538967289,0.00205156368774,0.00145295615238,0.0074606594287
shuttle,None,0.999950738236,0.146174472155,0.478317935264,5.62989022727e-05,0.00866260827495,0.0201809663088
shuttle,beta,0.999977340629,2.43223179691e-05,0.000294852380596,4.89663743369e-05,4.24782526738e-05,0.00127609981432
shuttle,beta05,0.99997931083,2.48613546885e-05,0.000294480093746,4.78206391812e-05,4.17857949962e-05,0.00127605728841
shuttle,beta2,0.999977340435,2.43854151371e-05,0.000301524004685,4.7944744282e-05,4.19599380123e-05,0.00127643569072
shuttle,isotonic,0.99997044398,2.49946295195e-05,0.000348636208614,6.13477031495e-05,4.48720110293e-05,0.00127976934248
shuttle,sigmoid,0.99997832556,2.46457013112e-05,0.000320865281722,4.99183812792e-05,4.19564787979e-05,0.00124806981167
sonar,None,0.818647057235,0.213674764193,0.619790903727,0.0683868935687,0.00445275079156,0.00900095136956
sonar,beta,0.818928503903,0.130952319255,0.413547665603,0.0617190249932,0.0290177064237,0.0725276232198
sonar,beta05,0.820958863409,0.130183271897,0.411526747931,0.0616183634122,0.0286748676956,0.071138133873
sonar,beta2,0.818022040353,0.131127659561,0.413437868943,0.0649732173528,0.0286876635904,0.0713217424224
sonar,isotonic,0.821005321017,0.132243258087,0.538192586079,0.0608543435466,0.0314287542483,0.388500539064
sonar,sigmoid,0.818509845231,0.131080979905,0.413363741583,0.0645892373817,0.0287083946985,0.0713539358729
spambase,None,0.942555296025,0.226784773712,0.646444655614,0.00636954100972,0.00203179768453,0.00416175710836
spambase,beta,0.945229519411,0.0467762380488,0.178294583952,0.00618098383373,0.0033045613313,0.0128594773288
spambase,beta05,0.945076660062,0.0468800972489,0.178490383024,0.00559606063592,0.00334980353289,0.0129856076291
spambase,beta2,0.945077132653,0.0473848279294,0.182365154454,0.00573069280535,0.00335838534102,0.013808059735
spambase,isotonic,0.945903220585,0.042559956344,0.158824103176,0.00571248116516,0.00367103669698,0.0169983628009
spambase,sigmoid,0.945077132653,0.0473786452578,0.182315599648,0.00573069280535,0.00335879427878,0.0137989248826
tic-tac,None,0.916182042857,0.247777428966,0.68870197024,0.0211788801788,6.6988497962e-05,0.000133978565536
tic-tac,beta,0.95188591033,0.0446707807975,0.169110237369,0.0146908972222,0.00944612661607,0.030526464929
tic-tac,beta05,0.91701864279,0.0556836220845,0.192609034606,0.0204184344399,0.0112322551784,0.0335419635611
tic-tac,beta2,0.951990622372,0.0445947645777,0.168951237694,0.0147925898054,0.00946216830976,0.0306598694216
tic-tac,isotonic,0.950735708344,0.0427440109044,0.180897087558,0.0149450850477,0.0101443215988,0.0965312931018
tic-tac,sigmoid,0.951782283387,0.0448905952556,0.16958360156,0.0145846676848,0.00943259819988,0.030183340118
vehicle,None,0.977658351121,0.191534422299,0.575060072568,0.00941141526235,0.00433861900482,0.00897181959299
vehicle,beta,0.978490341913,0.0175243289026,0.0704641349531,0.0100903824027,0.00535013386527,0.0207584915962
vehicle,beta05,0.978833486132,0.0175380462691,0.070352947093,0.00978836359817,0.00528313488995,0.0196074180601
vehicle,beta2,0.978605883693,0.0177114024164,0.0707857426792,0.00967292349256,0.00524643174136,0.0197664194973
vehicle,isotonic,0.976717117366,0.0180005669327,0.136658561696,0.00970276963572,0.00557924647876,0.140032789549
vehicle,sigmoid,0.978605883693,0.0177127842022,0.0707574358005,0.00967292349256,0.00525128035696,0.0197442079787
vowel,None,0.974545454545,0.122528914672,0.422278526944,0.00865560332148,0.00445901602645,0.0109151192528
vowel,beta,0.979595959596,0.0171676733398,0.0637681820618,0.0103030707232,0.00554588718402,0.0186499865523
vowel,beta05,0.976868686869,0.0182284399507,0.0660981544231,0.0089588195777,0.00537627719042,0.0181022474424
vowel,beta2,0.978888888889,0.017476827048,0.0647353722832,0.00971698357231,0.00539304904121,0.0177561858556
vowel,isotonic,0.980303030303,0.0170013760941,0.0817326920062,0.00902597114228,0.00592894419655,0.0606898222211
vowel,sigmoid,0.979090909091,0.0174458560861,0.0646309563635,0.00973411168267,0.0054000291783,0.0177651725224
waveform-5000,None,0.888299489659,0.238162703981,0.669440273429,0.00787592297063,0.00180172953035,0.00362327915897
waveform-5000,beta,0.88985971092,0.0801796139506,0.261824456306,0.00772810181073,0.00398689609048,0.0114408664094
waveform-5000,beta05,0.889619430519,0.079985686074,0.261167885219,0.00773954213699,0.00416034718826,0.0118921255896
waveform-5000,beta2,0.889959470759,0.0809766779355,0.265621805698,0.00819758476646,0.00387867186607,0.0119281839115
waveform-5000,isotonic,0.8897396308,0.079468983175,0.258582442364,0.00720119309321,0.00423906520213,0.0132572600064
waveform-5000,sigmoid,0.889959370739,0.0810058993857,0.265754024869,0.00826594888399,0.00387615033571,0.0119167443002
wdbc,None,0.970822624086,0.120990480917,0.421546200072,0.0143680194133,0.0111308719748,0.0268036553276
wdbc,beta,0.970111581377,0.0237572556467,0.0896422303013,0.0166815295592,0.00957744132773,0.0327899234205
wdbc,beta05,0.970117737591,0.0235254621901,0.0892161422139,0.0171230450335,0.00930299012482,0.031611673646
wdbc,beta2,0.969403616776,0.0240793514124,0.0908697573547,0.0164304762687,0.00934805789744,0.0322691214961
wdbc,isotonic,0.968009234321,0.0240081537369,0.147643883377,0.01833469314,0.00981739064571,0.147494904338
wdbc,sigmoid,0.969580607926,0.0240168668754,0.0904312322313,0.016425358012,0.00937562243163,0.0317969370687
wpbc,None,0.778056680162,0.216349099211,0.625023963365,0.0460520648586,0.00604992109546,0.0124075471629
wpbc,beta,0.766046558704,0.164107460776,0.502958654601,0.0238983981673,0.0131877036334,0.0363527677534
wpbc,beta05,0.784159919028,0.166006106143,0.507641231955,0.0436903269148,0.017209187837,0.0439377559108
wpbc,beta2,0.764573549258,0.163983679034,0.50265593803,0.0211737849968,0.0115559386742,0.0327902984386
wpbc,isotonic,0.768755735493,0.162922655032,0.500679668387,0.0400790432764,0.0173704607056,0.0476220867281
wpbc,sigmoid,0.764573549258,0.16388146849,0.502426772318,0.0211737849968,0.011611458297,0.0328183064197
yeast,None,0.72639155403,0.239849722895,0.672749366988,0.0207609922514,0.000930094224664,0.00187833036016
yeast,beta,0.691770191464,0.1851054271,0.539539606904,0.00653731641682,0.00353153159651,0.0119864052939
yeast,beta05,0.728955343543,0.188614345166,0.548245676666,0.0210111046259,0.00492200091803,0.0145005783381
yeast,beta2,0.692642591157,0.185882969708,0.540728560238,0.00810136369072,0.00335304963647,0.0113903315882
yeast,isotonic,0.72142821761,0.175193294622,0.527356813856,0.0168924158295,0.00644489135753,0.0400434310078
yeast,sigmoid,0.692508587431,0.185887260911,0.54073327903,0.0081427800927,0.00334974552537,0.011350976064
zoo,None,1.0,0.00163554509169,0.00596840820674,0.0,0.00348882338421,0.0127313653558
zoo,beta,1.0,0.00179343437085,0.012625575022,0.0,0.00342370351336,0.0196508219091
zoo,beta05,1.0,0.00179341088177,0.012625811678,0.0,0.00342362814532,0.0196511831965
zoo,beta2,1.0,0.00179221952326,0.0126266832304,0.0,0.00342131766922,0.0196522683675
zoo,isotonic,1.0,0.00179324667162,0.0126128049107,0.0,0.00342349702831,0.0196521459697
zoo,sigmoid,1.0,0.00179343109957,0.0126255477824,0.0,0.00342370194324,0.0196507979562
